Name,Reference (s),Full Address,Address,City,State,Country,ZIP,Current Status,Converted into?,Creation,Closure,Reason for closure,Owner,Films screened,Website,Notes
Peoples,FDYB1931 - ,"/, Alexander City, Alabama, United States, ",/,Alexander City,Alabama,United States,,,,,,,,,,
Rex,FDYB1950,"Laurel Street, Alexander City, Alabama, United States, 35010",Laurel Street,Alexander City,Alabama,United States,35010,,,,,,,,,
Gem,FDYB1950,"109 N. 6th Street, Gadsden, Anniston, Alabama, United States, 35901","109 N. 6th Street, Gadsden",Anniston,Alabama,United States,35901,,,,,,,,,
Queen,FDYB1926-,"504-508 W. 15th Street, Anniston, Alabama, United States, 36201",504-508 W. 15th Street,Anniston,Alabama,United States,36201,,,1917,1927,,,,https://npgallery.nps.gov/NRHP/GetAsset/677ecebd-71a7-4c14-9571-863d33743765,"The present building replaced an earlier frame structure on the same site which housed the only black vaudeville in town: The Queen Theatre/ listed in the 1917 city directory as a
Negro Vaudeville and Motion Picture Theatre. The present building has housed various specialty shops/ and is now used for storage for the Unique Accents Culture Shop."
Star,FDYB1931 - ,"/, Anniston, Alabama, United States, ",/,Anniston,Alabama,United States,,,,,,,,,,
West End,FDYB1926,"/, Arkadelphia, Alabama, United States, ",/,Arkadelphia,Alabama,United States,,,,,,,,,,
Colored H.S.,FDYB1931,"/, Auburn, Alabama, United States, ",/,Auburn,Alabama,United States,,,,,,,,,,
Frolic,FDYB1931 - 1932,"/, Auburn, Alabama, United States, ",/,Auburn,Alabama,United States,,,,,,,,,,
Hall Nall,FDYB1931,"/, Auburn, Alabama, United States, ",/,Auburn,Alabama,United States,,,,,,,,,,
Carver Outdoors,Bham Wiki,"2611 18th Avenue North, Bessemer, Alabama, United States, 35020",2611 18th Avenue North,Bessemer,Alabama,United States,35020,,,1950s,1970s,,A. E. Rook,,bhamwiki.com/w/List_of_former_cinemas#Bessemer,Outdoor Theater
Frolic,FDYB1950,"1914-1918 1st Ave N, Bessemer, Alabama, United States, 35020",1914-1918 1st Ave N,Bessemer,Alabama,United States,35020,,,,1959,,Ben Jaffe,,,Formerly operated as 'Dixie Theater' in the 1910s
Liberty,FDYB1926 - 1932,"/, Bessemer, Alabama, United States, ",/,Bessemer,Alabama,United States,,,,,,,,,,
Lincoln,"FDYB1950,  LHAT","1926 1st Ave N, Bessemer, Alabama, United States, 35020",1926 1st Ave N,Bessemer,Alabama,United States,35020,,,,,,,,https://alabamalincoln.com/mission/,
Star,FDYB1950,"/, Bessemer, Alabama, United States, ",/,Bessemer,Alabama,United States,,,,,,,,,,
Birmingham,FDYB1950,"1700 3rd Ave N, Birmingham, Alabama, United States, 35203",1700 3rd Ave N,Birmingham,Alabama,United States,35203,,,,,,,,,
Carver,FDYB1931,"322 17th Street North / 1631 4th Avenue North, Birmingham, Alabama, United States, 35203",322 17th Street North / 1631 4th Avenue North,Birmingham,Alabama,United States,35203,,,1935,1982,,M and R Fies,,bhamwiki.com/w/List_of_former_cinemas#Bessemer,
Champion,FDYB1926 - 1932,"1720 Fourth Avenue, Birmingham, Alabama, United States, 35208",1720 Fourth Avenue,Birmingham,Alabama,United States,35208,,,,,,,,bhamwiki.com/w/List_of_former_cinemas#Bessemer,
Dixie,FDYB1927 - 1932,"1712 4th Avenue North, Birmingham, Alabama, United States, 35203",1712 4th Avenue North,Birmingham,Alabama,United States,35203,,,1927,1929,,,,bhamwiki.com/w/List_of_former_cinemas#Bessemer,
Eighth Avenue,FDYB1950,"211–215 8th Avenue North, Birmingham, Alabama, United States, 35217",211–215 8th Avenue North,Birmingham,Alabama,United States,35217,,,1940s,,,,,bhamwiki.com/w/List_of_former_cinemas#Bessemer,
Famous,FDYB1926 - 1932,"306-308 18th Street North, 18th Street North(1925-1927), 1717 4th Avenue North (1927-1946), Birmingham, Alabama, United States, 35203","306-308 18th Street North, 18th Street North(1925-1927), 1717 4th Avenue North (1927-1946)",Birmingham,Alabama,United States,35203,,,1925,1946,,,,https://bhamwiki.com/w/Famous_Theater,
